state_name,crop_year,season,crop_varieties,total_area_ha,total_production_t,avg_yield_kg_ha,max_production_t,_pipeline_layer,_pipeline_ts
Andhra Pradesh,2010,Kharif,5,86319.75,315550.48,2864.39,189531.71,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2010,Rabi,4,162860.2,435676.1,2620.77,177618.2,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2010,Zaid,6,197853.55,489198.07,2758.25,121758.04,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2011,Kharif,5,238165.2,597301.54,2455.29,161243.13,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2011,Rabi,7,238802.93,619683.34,2619.55,208655.54,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2011,Zaid,6,290025.02,796098.9,2723.97,198852.66,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2012,Kharif,7,160851.14,567668.28,3511.19,156270.75,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2012,Rabi,6,192982.43,460687.18,2557.97,101800.77,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2012,Zaid,5,147468.5,451950.89,2449.99,114281.37,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2012,,2,52039.65,182757.24,2333.83,155720.68,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2013,Kharif,5,131766.5,413858.57,2735.66,219322.28,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2013,Rabi,6,159836.38,548199.3,3001.7,177451.71,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2013,Zaid,6,346589.89,1116420.19,3427.87,224384.0,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2014,Kharif,7,171415.33,345809.04,1989.13,121995.79,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2014,Rabi,5,230302.87,697348.7,3114.11,137473.06,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2014,Zaid,1,26916.19,67430.44,2505.2,67430.44,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2015,Kharif,5,227110.18,711967.87,3081.52,117926.54,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2015,Rabi,6,147294.69,383195.93,2936.73,155001.73,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2015,Zaid,5,173297.57,458983.67,2722.32,185252.45,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2016,Kharif,3,114074.49,374528.08,3272.86,122071.23,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2016,Rabi,5,176355.99,424715.46,2613.37,164974.12,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2016,Zaid,2,44552.04,72117.63,2819.1,70610.3,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2016,,1,44382.4,31952.67,719.94,31952.67,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2017,Kharif,6,259860.25,629397.04,2208.79,173059.27,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2017,Rabi,6,206241.52,739023.05,3276.7,206829.82,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2017,Zaid,5,122186.45,256096.48,2334.42,65431.17,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2017,,1,72866.96,211153.18,2895.17,138156.76,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2018,Kharif,3,112540.41,172602.26,1373.84,76160.93,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2018,Rabi,3,140622.93,186325.83,1443.7,86011.69,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2018,Zaid,4,124450.79,484995.36,2884.67,187726.49,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2019,Kharif,2,75559.01,145667.84,2840.28,54630.48,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2019,Rabi,4,160588.45,576412.79,3307.44,165879.57,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2019,Zaid,8,244798.11,739262.0,2590.88,133643.38,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2019,,2,60133.41,185413.63,2436.2,171717.83,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2020,Kharif,6,218248.15,508226.38,2468.98,161053.13,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2020,Rabi,3,85634.79,347158.16,3181.19,186894.87,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2020,Zaid,3,70052.06,133045.57,1795.66,92223.27,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2021,Kharif,5,174699.96,556393.89,2953.55,192521.07,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2021,Rabi,5,184110.05,420441.57,3020.73,111337.57,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2021,Zaid,5,129530.27,379664.96,2400.26,178032.75,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2021,,2,63014.25,246531.39,2737.8,237691.23,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2022,Kharif,5,180582.3,496252.27,2385.06,132764.94,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2022,Rabi,5,227171.64,645205.34,3163.03,180869.83,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2022,Zaid,7,122505.65,312210.28,2478.28,107015.1,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2022,,1,,1445.93,519.02,1445.93,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2023,Kharif,3,111083.57,379840.31,2911.61,147825.63,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2023,Rabi,3,46709.62,112087.19,2793.31,60689.96,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2023,Zaid,5,71278.9,159033.53,1884.42,65926.81,gold,2026-04-22T13:57:31.147346
Andhra Pradesh,2023,,1,33578.98,85511.22,2546.57,85511.22,gold,2026-04-22T13:57:31.147346
