state_name,crop,total_production_t,rank_in_crop,_pipeline_layer,_pipeline_ts
Assam,Barley,2814502.74,1,gold,2026-04-22T13:57:31.187327
Gujarat,Barley,2602976.36,2,gold,2026-04-22T13:57:31.187327
West Bengal,Barley,2523999.82,3,gold,2026-04-22T13:57:31.187327
Karnataka,Barley,2311553.01,4,gold,2026-04-22T13:57:31.187327
Bihar,Barley,2212365.85,5,gold,2026-04-22T13:57:31.187327
Rajasthan,Cotton,2575357.22,1,gold,2026-04-22T13:57:31.187327
Tamil Nadu,Cotton,2526783.06,2,gold,2026-04-22T13:57:31.187327
Assam,Cotton,2342546.73,3,gold,2026-04-22T13:57:31.187327
West Bengal,Cotton,2336850.39,4,gold,2026-04-22T13:57:31.187327
Madhya Pradesh,Cotton,2245992.84,5,gold,2026-04-22T13:57:31.187327
Tamil Nadu,Groundnut,2573878.44,1,gold,2026-04-22T13:57:31.187327
West Bengal,Groundnut,2365288.51,2,gold,2026-04-22T13:57:31.187327
Gujarat,Groundnut,2177732.88,3,gold,2026-04-22T13:57:31.187327
Haryana,Groundnut,2153035.34,4,gold,2026-04-22T13:57:31.187327
Rajasthan,Groundnut,2022025.01,5,gold,2026-04-22T13:57:31.187327
Andhra Pradesh,Jowar,3154482.29,1,gold,2026-04-22T13:57:31.187327
Madhya Pradesh,Jowar,2795298.54,2,gold,2026-04-22T13:57:31.187327
Rajasthan,Jowar,2708387.88,3,gold,2026-04-22T13:57:31.187327
Tamil Nadu,Jowar,2332984.91,4,gold,2026-04-22T13:57:31.187327
West Bengal,Jowar,2162391.87,5,gold,2026-04-22T13:57:31.187327
Punjab,Maize,2874995.32,1,gold,2026-04-22T13:57:31.187327
Maharashtra,Maize,2777787.75,2,gold,2026-04-22T13:57:31.187327
Karnataka,Maize,2666621.05,3,gold,2026-04-22T13:57:31.187327
West Bengal,Maize,2351005.7,4,gold,2026-04-22T13:57:31.187327
Assam,Maize,2270332.32,5,gold,2026-04-22T13:57:31.187327
Uttar Pradesh,Mustard,2357884.44,1,gold,2026-04-22T13:57:31.187327
Assam,Mustard,2122675.67,2,gold,2026-04-22T13:57:31.187327
Punjab,Mustard,2117851.94,3,gold,2026-04-22T13:57:31.187327
Bihar,Mustard,2034990.99,4,gold,2026-04-22T13:57:31.187327
Madhya Pradesh,Mustard,2030055.27,5,gold,2026-04-22T13:57:31.187327
West Bengal,Rice,2438476.72,1,gold,2026-04-22T13:57:31.187327
Bihar,Rice,2324688.08,2,gold,2026-04-22T13:57:31.187327
Uttar Pradesh,Rice,2281803.14,3,gold,2026-04-22T13:57:31.187327
Madhya Pradesh,Rice,2222954.6,4,gold,2026-04-22T13:57:31.187327
Rajasthan,Rice,2206060.74,5,gold,2026-04-22T13:57:31.187327
Rajasthan,Soybean,2512183.48,1,gold,2026-04-22T13:57:31.187327
Haryana,Soybean,2224106.0,2,gold,2026-04-22T13:57:31.187327
West Bengal,Soybean,2140241.8,3,gold,2026-04-22T13:57:31.187327
Maharashtra,Soybean,2116356.1,4,gold,2026-04-22T13:57:31.187327
Andhra Pradesh,Soybean,2094929.2,5,gold,2026-04-22T13:57:31.187327
Maharashtra,Sugarcane,2590048.09,1,gold,2026-04-22T13:57:31.187327
Punjab,Sugarcane,2379629.71,2,gold,2026-04-22T13:57:31.187327
Karnataka,Sugarcane,2349374.9,3,gold,2026-04-22T13:57:31.187327
Assam,Sugarcane,2286005.53,4,gold,2026-04-22T13:57:31.187327
Rajasthan,Sugarcane,2089063.95,5,gold,2026-04-22T13:57:31.187327
Andhra Pradesh,Wheat,2497343.29,1,gold,2026-04-22T13:57:31.187327
West Bengal,Wheat,2482913.12,2,gold,2026-04-22T13:57:31.187327
Haryana,Wheat,2480669.78,3,gold,2026-04-22T13:57:31.187327
Uttar Pradesh,Wheat,2166323.62,4,gold,2026-04-22T13:57:31.187327
Odisha,Wheat,2147210.36,5,gold,2026-04-22T13:57:31.187327
