year,crop,national_production_t,avg_national_yield,avg_temp_max,avg_temp_min,total_precip_mm,_pipeline_layer,_pipeline_ts
2010,Barley,2290464.42,2296.27,,,,gold,2026-04-22T13:57:31.275346
2010,Cotton,1631259.6,2837.41,,,,gold,2026-04-22T13:57:31.275346
2010,Groundnut,2445946.05,2828.29,,,,gold,2026-04-22T13:57:31.275346
2010,Jowar,2287605.91,2847.01,,,,gold,2026-04-22T13:57:31.275346
2010,Maize,2006638.43,2952.58,,,,gold,2026-04-22T13:57:31.275346
2010,Mustard,1887830.91,2422.22,,,,gold,2026-04-22T13:57:31.275346
2010,Rice,1838758.11,2535.65,,,,gold,2026-04-22T13:57:31.275346
2010,Soybean,2056120.3,2676.43,,,,gold,2026-04-22T13:57:31.275346
2010,Sugarcane,1818328.22,2679.9,,,,gold,2026-04-22T13:57:31.275346
2010,Wheat,1760788.86,2523.89,,,,gold,2026-04-22T13:57:31.275346
2011,Barley,1907473.57,2975.7,,,,gold,2026-04-22T13:57:31.275346
2011,Cotton,1566578.36,2797.59,,,,gold,2026-04-22T13:57:31.275346
2011,Groundnut,1446870.35,3013.29,,,,gold,2026-04-22T13:57:31.275346
2011,Jowar,2949783.93,3175.93,,,,gold,2026-04-22T13:57:31.275346
2011,Maize,2196368.51,2733.35,,,,gold,2026-04-22T13:57:31.275346
2011,Mustard,1361612.09,2602.2,,,,gold,2026-04-22T13:57:31.275346
2011,Rice,2577031.76,2830.69,,,,gold,2026-04-22T13:57:31.275346
2011,Soybean,2376182.52,2414.33,,,,gold,2026-04-22T13:57:31.275346
2011,Sugarcane,1259362.14,2312.98,,,,gold,2026-04-22T13:57:31.275346
2011,Wheat,2604968.23,2720.12,,,,gold,2026-04-22T13:57:31.275346
2012,Barley,1194053.99,2572.73,,,,gold,2026-04-22T13:57:31.275346
2012,Cotton,2856647.82,3006.84,,,,gold,2026-04-22T13:57:31.275346
2012,Groundnut,2639821.99,3047.5,,,,gold,2026-04-22T13:57:31.275346
2012,Jowar,2440381.87,2739.1,,,,gold,2026-04-22T13:57:31.275346
2012,Maize,1821472.76,2889.96,,,,gold,2026-04-22T13:57:31.275346
2012,Mustard,2316378.34,2646.38,,,,gold,2026-04-22T13:57:31.275346
2012,Rice,791594.87,1916.95,,,,gold,2026-04-22T13:57:31.275346
2012,Soybean,2048185.21,3245.18,,,,gold,2026-04-22T13:57:31.275346
2012,Sugarcane,1259391.66,2378.15,,,,gold,2026-04-22T13:57:31.275346
2012,Wheat,2289125.79,3026.14,,,,gold,2026-04-22T13:57:31.275346
2013,Barley,2575080.55,3133.47,,,,gold,2026-04-22T13:57:31.275346
2013,Cotton,2052420.76,2504.7,,,,gold,2026-04-22T13:57:31.275346
2013,Groundnut,682682.88,2273.12,,,,gold,2026-04-22T13:57:31.275346
2013,Jowar,2478711.24,2861.08,,,,gold,2026-04-22T13:57:31.275346
2013,Maize,2191037.01,3018.76,,,,gold,2026-04-22T13:57:31.275346
2013,Mustard,1509167.14,2846.25,,,,gold,2026-04-22T13:57:31.275346
2013,Rice,2866491.14,2913.23,,,,gold,2026-04-22T13:57:31.275346
2013,Soybean,1962782.67,2514.74,,,,gold,2026-04-22T13:57:31.275346
2013,Sugarcane,1683790.71,2396.63,,,,gold,2026-04-22T13:57:31.275346
2013,Wheat,2377600.81,2683.92,,,,gold,2026-04-22T13:57:31.275346
2014,Barley,1887162.1,2705.91,,,,gold,2026-04-22T13:57:31.275346
2014,Cotton,1951667.39,3182.76,,,,gold,2026-04-22T13:57:31.275346
2014,Groundnut,1949676.71,2936.63,,,,gold,2026-04-22T13:57:31.275346
2014,Jowar,2529369.34,3168.98,,,,gold,2026-04-22T13:57:31.275346
