state,hospital_type,hospital_count,total_beds,avg_beds_per_hospital,total_doctors,total_nurses,accreditation_pct,_pipeline_layer,_pipeline_ts
Andhra Pradesh,Charitable,35,16961.0,484.6,3411.0,8672.0,65.71,gold,2026-04-22T13:57:31.220286
Andhra Pradesh,Government,52,19810.0,381.0,5033.0,13918.0,50.0,gold,2026-04-22T13:57:31.220286
Andhra Pradesh,Private,48,20648.0,430.2,3747.0,15063.0,64.58,gold,2026-04-22T13:57:31.220286
Andhra Pradesh,Trust,62,24062.0,388.1,5444.0,15185.0,53.23,gold,2026-04-22T13:57:31.220286
Assam,Charitable,43,19434.0,452.0,3956.0,12406.0,67.44,gold,2026-04-22T13:57:31.220286
Assam,Government,36,16020.0,445.0,3549.0,9425.0,41.67,gold,2026-04-22T13:57:31.220286
Assam,Private,54,21570.0,399.4,5816.0,12238.0,68.52,gold,2026-04-22T13:57:31.220286
Assam,Trust,50,17571.0,351.4,4879.0,13638.0,54.0,gold,2026-04-22T13:57:31.220286
Bihar,Charitable,42,17575.0,418.5,3843.0,10229.0,69.05,gold,2026-04-22T13:57:31.220286
Bihar,Government,55,23873.0,434.1,5601.0,13166.0,56.36,gold,2026-04-22T13:57:31.220286
Bihar,Private,44,15907.0,361.5,4291.0,11574.0,50.0,gold,2026-04-22T13:57:31.220286
Bihar,Trust,47,18542.0,394.5,5147.0,12846.0,57.45,gold,2026-04-22T13:57:31.220286
Gujarat,Charitable,47,17756.0,377.8,4445.0,11616.0,65.96,gold,2026-04-22T13:57:31.220286
Gujarat,Government,55,23365.0,424.8,4874.0,13189.0,72.73,gold,2026-04-22T13:57:31.220286
Gujarat,Private,50,18097.0,361.9,4737.0,11276.0,64.0,gold,2026-04-22T13:57:31.220286
Gujarat,Trust,65,28162.0,433.3,5351.0,15419.0,63.08,gold,2026-04-22T13:57:31.220286
Haryana,Charitable,33,13381.0,405.5,2623.0,8312.0,39.39,gold,2026-04-22T13:57:31.220286
Haryana,Government,58,23602.0,406.9,5313.0,15562.0,63.79,gold,2026-04-22T13:57:31.220286
Haryana,Private,52,19706.0,379.0,5312.0,13826.0,65.38,gold,2026-04-22T13:57:31.220286
Haryana,Trust,44,18341.0,416.8,4980.0,9142.0,68.18,gold,2026-04-22T13:57:31.220286
Karnataka,Charitable,49,19731.0,402.7,4559.0,12032.0,71.43,gold,2026-04-22T13:57:31.220286
Karnataka,Government,44,19003.0,431.9,4167.0,9905.0,54.55,gold,2026-04-22T13:57:31.220286
Karnataka,Private,57,24749.0,434.2,5583.0,14613.0,49.12,gold,2026-04-22T13:57:31.220286
Karnataka,Trust,46,18649.0,405.4,3595.0,11809.0,60.87,gold,2026-04-22T13:57:31.220286
Madhya Pradesh,Charitable,56,24768.0,442.3,5610.0,15471.0,58.93,gold,2026-04-22T13:57:31.220286
Madhya Pradesh,Government,51,23633.0,463.4,4658.0,12162.0,52.94,gold,2026-04-22T13:57:31.220286
Madhya Pradesh,Private,58,24631.0,424.7,4942.0,14089.0,46.55,gold,2026-04-22T13:57:31.220286
Madhya Pradesh,Trust,47,19801.0,421.3,5063.0,12046.0,48.94,gold,2026-04-22T13:57:31.220286
Maharashtra,Charitable,50,19677.0,393.5,5102.0,14064.0,56.0,gold,2026-04-22T13:57:31.220286
Maharashtra,Government,43,15521.0,361.0,4080.0,11253.0,48.84,gold,2026-04-22T13:57:31.220286
Maharashtra,Private,47,18216.0,387.6,4605.0,11889.0,61.7,gold,2026-04-22T13:57:31.220286
Maharashtra,Trust,55,19148.0,348.1,5233.0,15309.0,78.18,gold,2026-04-22T13:57:31.220286
Odisha,Charitable,51,20876.0,409.3,4896.0,12492.0,56.86,gold,2026-04-22T13:57:31.220286
Odisha,Government,58,22255.0,383.7,5975.0,15440.0,48.28,gold,2026-04-22T13:57:31.220286
Odisha,Private,50,21634.0,432.7,4672.0,11809.0,58.0,gold,2026-04-22T13:57:31.220286
Odisha,Trust,54,20000.0,370.4,5060.0,13317.0,51.85,gold,2026-04-22T13:57:31.220286
Punjab,Charitable,56,19575.0,349.6,6079.0,13562.0,51.79,gold,2026-04-22T13:57:31.220286
Punjab,Government,42,19101.0,454.8,4418.0,11646.0,78.57,gold,2026-04-22T13:57:31.220286
Punjab,Private,45,20474.0,455.0,4435.0,11705.0,62.22,gold,2026-04-22T13:57:31.220286
Punjab,Trust,54,23310.0,431.7,5201.0,14184.0,61.11,gold,2026-04-22T13:57:31.220286
Rajasthan,Charitable,62,25260.0,407.4,6111.0,16835.0,72.58,gold,2026-04-22T13:57:31.220286
Rajasthan,Government,51,20964.0,411.1,5012.0,13897.0,62.75,gold,2026-04-22T13:57:31.220286
Rajasthan,Private,51,19853.0,389.3,5023.0,13489.0,66.67,gold,2026-04-22T13:57:31.220286
Rajasthan,Trust,51,19722.0,386.7,5701.0,12215.0,60.78,gold,2026-04-22T13:57:31.220286
