date,temp_max_c,temp_min_c,precipitation_mm,windspeed_max_kph,temp_max_7d_avg,temp_min_7d_avg,precip_7d_sum,wind_7d_avg,_pipeline_layer,_pipeline_ts
2026-03-23,27.1,19.7,1.3,8.9,27.1,19.7,1.3,8.9,gold,2026-04-22T13:57:31.240320
2026-03-24,30.2,19.8,0.0,9.4,28.65,19.75,1.3,9.15,gold,2026-04-22T13:57:31.240320
2026-03-25,31.5,18.5,0.0,10.1,29.6,19.33,1.3,9.47,gold,2026-04-22T13:57:31.240320
2026-03-26,33.5,21.2,0.1,10.7,30.58,19.8,1.4,9.77,gold,2026-04-22T13:57:31.240320
2026-03-27,30.1,21.1,0.9,13.0,30.48,20.06,2.3,10.42,gold,2026-04-22T13:57:31.240320
2026-03-28,31.5,19.7,0.0,7.1,30.65,20.0,2.3,9.87,gold,2026-04-22T13:57:31.240320
2026-03-29,33.9,21.5,0.4,9.6,31.11,20.21,2.7,9.83,gold,2026-04-22T13:57:31.240320
2026-03-30,31.4,21.8,0.0,11.3,31.73,20.51,1.4,10.17,gold,2026-04-22T13:57:31.240320
2026-03-31,32.7,20.0,0.2,8.5,32.09,20.54,1.6,10.04,gold,2026-04-22T13:57:31.240320
2026-04-01,31.7,19.0,0.1,7.7,32.11,20.61,1.7,9.7,gold,2026-04-22T13:57:31.240320
2026-04-02,34.8,21.2,0.1,6.6,32.3,20.61,1.7,9.11,gold,2026-04-22T13:57:31.240320
2026-04-03,31.4,22.7,0.4,10.2,32.49,20.84,1.2,8.71,gold,2026-04-22T13:57:31.240320
2026-04-04,29.6,19.6,3.9,13.0,32.21,20.83,5.1,9.56,gold,2026-04-22T13:57:31.240320
2026-04-05,29.9,19.2,0.7,12.0,31.64,20.5,5.4,9.9,gold,2026-04-22T13:57:31.240320
2026-04-06,32.1,19.0,0.1,9.7,31.74,20.1,5.5,9.67,gold,2026-04-22T13:57:31.240320
2026-04-07,28.5,19.1,3.8,10.7,31.14,19.97,9.1,9.99,gold,2026-04-22T13:57:31.240320
2026-04-08,27.1,17.9,3.5,10.2,30.49,19.81,12.5,10.34,gold,2026-04-22T13:57:31.240320
2026-04-09,28.7,17.3,0.0,9.1,29.61,19.26,12.4,10.7,gold,2026-04-22T13:57:31.240320
2026-04-10,31.6,18.0,0.0,14.4,29.64,18.59,12.0,11.3,gold,2026-04-22T13:57:31.240320
2026-04-11,31.7,20.2,0.0,10.0,29.94,18.67,8.1,10.87,gold,2026-04-22T13:57:31.240320
2026-04-12,33.3,21.4,0.0,12.9,30.43,18.99,7.4,11.0,gold,2026-04-22T13:57:31.240320
2026-04-13,34.5,20.2,0.0,11.3,30.77,19.16,7.3,11.23,gold,2026-04-22T13:57:31.240320
2026-04-14,36.7,22.7,0.0,7.2,31.94,19.67,3.5,10.73,gold,2026-04-22T13:57:31.240320
2026-04-15,38.4,24.0,0.0,10.7,33.56,20.54,0.0,10.8,gold,2026-04-22T13:57:31.240320
2026-04-16,38.7,25.6,0.0,8.0,34.99,21.73,0.0,10.64,gold,2026-04-22T13:57:31.240320
2026-04-17,38.3,25.5,0.2,9.7,35.94,22.8,0.2,9.97,gold,2026-04-22T13:57:31.240320
2026-04-18,38.9,25.0,0.0,6.3,36.97,23.49,0.2,9.44,gold,2026-04-22T13:57:31.240320
2026-04-19,38.6,24.7,0.0,11.8,37.73,23.96,0.2,9.29,gold,2026-04-22T13:57:31.240320
2026-04-20,39.0,23.2,0.0,11.5,38.37,24.39,0.2,9.31,gold,2026-04-22T13:57:31.240320
2026-04-21,38.2,24.3,0.0,13.8,38.59,24.61,0.2,10.26,gold,2026-04-22T13:57:31.240320
2026-04-22,39.4,24.7,0.0,12.8,38.73,24.71,0.2,10.56,gold,2026-04-22T13:57:31.240320
2026-04-23,40.1,25.5,0.0,10.9,38.93,24.7,0.2,10.97,gold,2026-04-22T13:57:31.240320
2026-04-24,40.4,25.9,0.0,9.7,39.23,24.76,0.0,10.97,gold,2026-04-22T13:57:31.240320
2026-04-25,41.0,26.9,0.0,14.2,39.53,25.03,0.0,12.1,gold,2026-04-22T13:57:31.240320
2026-04-26,40.2,26.3,0.0,13.2,39.76,25.26,0.0,12.3,gold,2026-04-22T13:57:31.240320
2026-04-27,39.4,26.9,0.0,14.1,39.81,25.79,0.0,12.67,gold,2026-04-22T13:57:31.240320
2026-04-28,40.3,27.5,0.0,10.9,40.11,26.24,0.0,12.26,gold,2026-04-22T13:57:31.240320
