state_name,district_name,crop_year,season,crop,area_hectares,yield_kg_per_ha,production_tonnes
Telangana,Tela_District_06,2014.0,Zaid,Wheat,38720.41,2474.95,95831.08
Gujarat,Guja_District_09,2021.0,Kharif,Barley,42944.04,3638.16,156237.29
Assam,Assa_District_02,2014.0,Rabi,Barley,4799.45,4890.3,23470.75
Andhra Pradesh,Andh_District_16,2010.0,Rabi,Jowar,38080.87,4037.29,153743.52
Odisha,Odis_District_20,2010.0,Kharif,Barley,6492.87,2526.74,16405.79
Punjab,Punj_District_08,2016.0,Rabi,Jowar,18602.82,4670.44,86883.35
Karnataka,Karn_District_06,2022.0,Kharif,Maize,32228.87,4202.43,135439.57
Odisha,Odis_District_16,2014.0,Rabi,Cotton,22226.37,1522.57,33841.2
Maharashtra,Maha_District_01,2020.0,Zaid,Cotton,,787.18,21862.96
Uttar Pradesh,Utta_District_19,2010.0,Rabi,Soybean,41398.8,3342.49,138375.08
Haryana,Hary_District_20,,Kharif,Soybean,37928.58,2095.37,79474.41
Telangana,Tela_District_18,2013.0,Zaid,Jowar,48537.83,4519.05,219344.88
Telangana,Tela_District_09,2022.0,Kharif,Jowar,38941.34,1375.87,53578.22
Gujarat,Guja_District_11,2017.0,Zaid,Soybean,23389.38,697.12,16305.2
,Madh_District_04,2023.0,Kharif,Wheat,7799.05,3573.72,27871.62
Andhra Pradesh,Andh_District_07,2022.0,Rabi,Barley,37263.63,4853.79,180869.83
Haryana,Hary_District_17,2013.0,Kharif,Rice,16358.69,2167.07,35450.43
Odisha,Odis_District_06,2021.0,Rabi,Maize,23530.83,1352.62,31828.27
Andhra Pradesh,,2023.0,Rabi,Jowar,6583.08,2640.67,17383.74
Telangana,Tela_District_15,2015.0,Rabi,Maize,11422.78,3514.16,40141.48
West Bengal,West_District_03,2014.0,Zaid,Soybean,21913.88,4247.05,93069.34
Maharashtra,Maha_District_08,2010.0,Rabi,Rice,35043.23,1905.65,66780.13
Andhra Pradesh,Andh_District_11,2017.0,Rabi,Rice,41629.76,4121.44,171574.56
Madhya Pradesh,Madh_District_04,2023.0,Kharif,Sugarcane,19435.17,1797.48,34934.33
Punjab,Punj_District_02,2020.0,Kharif,Barley,34156.53,1128.89,38558.97
Telangana,Tela_District_03,2019.0,Kharif,Groundnut,10075.42,533.13,5371.51
,West_District_04,2016.0,Kharif,Barley,39367.53,3491.83,137464.72
West Bengal,West_District_03,2017.0,Rabi,Soybean,35287.75,4013.28,141619.62
Bihar,Biha_District_14,2020.0,,Mustard,22999.9,3059.34,70364.51
Telangana,Tela_District_19,2011.0,Rabi,Maize,7075.87,1015.39,7184.77
Punjab,Punj_District_09,2013.0,Kharif,Cotton,33453.31,2619.93,87645.33
Assam,Assa_District_12,2018.0,Rabi,Groundnut,28305.28,3942.49,111593.28
Rajasthan,Raja_District_16,2020.0,Zaid,Soybean,31772.44,2991.11,95034.86
Uttar Pradesh,Utta_District_14,2018.0,Zaid,Rice,28004.44,1867.78,52306.13
Karnataka,,2015.0,Zaid,Sugarcane,1637.81,2465.23,4037.58
Madhya Pradesh,Madh_District_19,2020.0,Rabi,Cotton,10807.78,2338.38,25272.7
Gujarat,Guja_District_05,2023.0,Rabi,Mustard,42684.81,1552.73,66277.99
Odisha,Odis_District_05,2016.0,Zaid,Rice,3009.31,1766.23,5315.13
Odisha,Odis_District_05,2013.0,Kharif,Rice,14750.33,3478.62,51310.79
West Bengal,West_District_14,2014.0,Zaid,Mustard,,4027.54,112351.85
,Guja_District_03,2022.0,,Mustard,33249.25,2328.74,77428.86
West Bengal,West_District_04,2016.0,Zaid,Barley,40719.62,1251.38,50955.72
Andhra Pradesh,Andh_District_14,2017.0,Kharif,Barley,1233.33,905.22,1116.43
Karnataka,Karn_District_16,2010.0,Kharif,Barley,36145.73,2578.45,93199.96
Andhra Pradesh,Andh_District_12,2023.0,Zaid,Wheat,8147.46,2754.7,22443.81
Assam,Assa_District_19,2012.0,Rabi,Mustard,7700.37,3633.44,27978.83
,Punj_District_11,2013.0,Kharif,Jowar,22363.2,2214.6,49525.54
Haryana,Hary_District_13,2022.0,Kharif,Maize,15145.45,3336.27,50529.31
Madhya Pradesh,Madh_District_20,2023.0,Rabi,Mustard,18154.45,894.42,16237.7
Odisha,Odis_District_19,2013.0,Rabi,Rice,5988.49,4828.54,28915.66
Assam,Assa_District_08,2012.0,Rabi,Cotton,45438.18,3648.68,165789.38
Tamil Nadu,Tami_District_02,2023.0,Rabi,Cotton,,4861.29,64980.43
Odisha,Odis_District_17,2022.0,Kharif,Groundnut,38959.67,3726.01,145164.12
Assam,Assa_District_09,2022.0,Zaid,Jowar,22523.14,1725.09,38854.44
West Bengal,West_District_06,2022.0,,Groundnut,4909.91,4561.71,22397.59
Punjab,Punj_District_10,2018.0,Zaid,Groundnut,22843.24,1410.64,32223.59
West Bengal,West_District_10,2010.0,Zaid,,15367.24,3106.49,47738.18
Rajasthan,Raja_District_05,2012.0,Zaid,Barley,8920.96,4354.76,38848.64
Maharashtra,Maha_District_12,2010.0,Rabi,Sugarcane,37950.12,3737.58,141841.61
Rajasthan,Raja_District_11,2020.0,Zaid,Sugarcane,21661.44,3322.89,71978.58
Gujarat,Guja_District_05,,Zaid,Cotton,29246.49,3424.31,100149.05
Madhya Pradesh,Madh_District_15,2023.0,Zaid,Wheat,4313.77,2371.13,10228.51
Rajasthan,Raja_District_01,2015.0,Rabi,Groundnut,2176.55,2722.96,5926.66
Rajasthan,Raja_District_08,2019.0,Rabi,Wheat,16560.07,1150.36,19050.04
Maharashtra,Maha_District_01,2020.0,,Wheat,5259.81,3144.4,16538.95
Madhya Pradesh,,2020.0,Zaid,Rice,8612.59,4663.04,40160.85
Punjab,Punj_District_19,2021.0,Zaid,Maize,29094.95,2060.91,59962.07
Andhra Pradesh,Andh_District_19,2015.0,Rabi,Soybean,29586.68,602.62,17829.53
Bihar,,2014.0,Kharif,Rice,47932.1,2670.37,127996.44
Andhra Pradesh,Andh_District_04,2019.0,Zaid,Soybean,,872.28,34157.17
Andhra Pradesh,Andh_District_09,2019.0,Zaid,Maize,24384.25,2708.18,66036.94
Maharashtra,Maha_District_17,2013.0,Rabi,Barley,46897.54,,144105.82
Tamil Nadu,Tami_District_17,2015.0,Zaid,Maize,23727.12,1701.39,40369.08
Gujarat,Guja_District_02,2015.0,Zaid,Jowar,16645.29,2843.03,47323.06
Tamil Nadu,Tami_District_07,2015.0,Rabi,Maize,22001.68,597.25,13140.5
Tamil Nadu,Tami_District_17,2020.0,Kharif,Wheat,41331.97,,187346.25
Madhya Pradesh,Madh_District_03,2022.0,Zaid,Soybean,7098.43,,21246.74
Gujarat,Guja_District_15,2018.0,Rabi,Rice,5517.93,3525.08,19451.14
Tamil Nadu,Tami_District_07,2012.0,Zaid,Groundnut,14133.57,3467.4,49006.74
Odisha,Odis_District_07,2010.0,Zaid,Maize,36377.03,3958.91,144013.39
Uttar Pradesh,Utta_District_02,2021.0,Rabi,Sugarcane,5476.27,4622.05,25311.59
Andhra Pradesh,Andh_District_02,2012.0,Rabi,Mustard,11587.68,668.36,7744.74
Tamil Nadu,Tami_District_19,2010.0,Zaid,Groundnut,27787.14,2169.15,60274.47
Andhra Pradesh,Andh_District_08,2019.0,,Soybean,41506.51,4137.13,171717.83
Maharashtra,Maha_District_17,2016.0,,Barley,15925.23,4788.05,76250.8
Telangana,Tela_District_14,2023.0,Zaid,Rice,14616.8,2817.76,41186.63
Madhya Pradesh,Madh_District_08,2010.0,Rabi,Barley,12872.66,4712.2,60658.55
Maharashtra,Maha_District_04,,,Sugarcane,8313.93,702.1,5837.21
Bihar,Biha_District_16,2010.0,Rabi,Jowar,21811.34,4965.69,108308.35
Tamil Nadu,Tami_District_09,2022.0,Rabi,Jowar,44594.7,3868.74,172525.3
Telangana,Tela_District_08,2011.0,Rabi,Wheat,44550.55,4520.51,201391.21
Bihar,Biha_District_08,2017.0,Zaid,Groundnut,25991.03,1921.68,49946.44
Telangana,Tela_District_09,2014.0,Zaid,Mustard,38623.42,3477.48,134312.17
Punjab,Punj_District_04,2022.0,Zaid,Sugarcane,18745.52,925.1,17341.48
,Utta_District_19,2022.0,,Maize,37364.8,1681.07,62812.84
Assam,Assa_District_14,2020.0,,,46846.98,1584.37,74222.95
Andhra Pradesh,Andh_District_15,,Rabi,Wheat,6225.62,4240.01,26396.69
